state,year,State Code,Region,population,population ratio,population  region ratio,area,area density,land,land density,water,water density
Maine,2013,ME,Northeast,1328009,0.004202644,0.023756102,91633,14.4885467,79883,12.63069611,11750,1.857850597
Maryland,2013,MD,South,5923188,0.018744639,0.050041972,32131,180.1576359,25142,140.9705046,6990,39.19273833
Massachusetts,2013,MA,Northeast,6713315,0.02124509,0.120091201,27336,240.207309,20202,177.5193173,7134,62.68799176
Michigan,2013,MI,Midwest,9913065,0.031371083,0.146728973,250487,39.43322408,146435,23.05270999,104052,16.38051409
Minnesota,2013,MN,Midwest,5413479,0.017131603,0.080128014,225163,23.58659282,206232,21.60350595,18930,1.982982116
Mississippi,2013,MS,South,2988711,0.009458134,0.025250084,125438,23.68140436,121531,22.94380294,3907,0.737601419
Missouri,2013,MO,Midwest,6040715,0.019116567,0.089412095,180540,33.21133267,178040,32.75144383,2501,0.460072798
Montana,2013,MT,West,1013569,0.003207561,0.013666014,380831,2.601408499,376962,2.574979848,3869,0.026428651
Nebraska,2013,NE,Midwest,1865279,0.005902899,0.027609067,200330,9.132641142,198974,9.070823834,1356,0.061817308
Nevada,2013,NV,West,2775970,0.00878489,0.037428575,286380,9.436430617,284332,9.368947518,2048,0.067483099
New Hampshire,2013,NH,Northeast,1326622,0.004198254,0.023731291,24214,54.38019328,23187,52.07374005,1027,2.306453229
New Jersey,2013,NJ,Northeast,8856972,0.02802895,0.15843803,22591,389.5111328,19047,328.405938,3544,61.10519474
New Mexico,2013,NM,West,2092273,0.006621249,0.028210246,314917,6.555860751,314161,6.540122538,757,0.01575903
New York,2013,NY,Northeast,19624447,0.062103916,0.351052111,141297,137.2985838,122057,118.6030365,19240,18.69554734
North Carolina,2013,NC,South,9843336,0.031150417,0.083161288,139391,68.68680905,125920,62.04879078,13471,6.63801827
North Dakota,2013,ND,Midwest,722036,0.002284969,0.01068727,183108,3.684792581,178711,3.596309102,4397,0.08848348
Ohio,2013,OH,Midwest,11576684,0.036635805,0.171353154,116098,99.39306448,105829,90.60163501,10269,8.791429475
Oklahoma,2013,OK,South,3853214,0.012193958,0.032553825,181037,20.76892569,177660,20.38150951,3377,0.387416175
Oregon,2013,OR,West,3922468,0.01241312,0.052886879,254799,15.06085581,248608,14.69491341,6191,0.365942403
Pennsylvania,2013,PA,Northeast,12776309,0.040432162,0.228549128,119280,106.5657277,115883,103.5308201,3397,3.034907587
Puerto Rico,2013,,,3593077,0.011370723,0,13791,269.8517149,8868,173.5222252,4924,96.34905693
Rhode Island,2013,RI,Northeast,1055081,0.00333893,0.018873827,4001,263.423894,2678,176.3182175,1324,87.17151604
South Carolina,2013,SC,South,4764080,0.015076502,0.040249264,82933,55.89631389,77857,52.47512222,5076,3.421191677
South Dakota,2013,SD,Midwest,842316,0.00266561,0.012467603,199729,4.086367027,196350,4.017234181,3379,0.069132846
Tennessee,2013,TN,South,6494340,0.020552118,0.054867342,109153,58.22387841,106798,56.96768542,2355,1.256192992
Texas,2013,TX,South,26480266,0.083799977,0.223718162,695662,36.28482079,676587,35.28989372,19075,0.994927072
Utah,2013,UT,West,2897640,0.009169929,0.039069059,219882,12.62191539,212818,12.21641967,7064,0.405495722
Vermont,2013,VT,Northeast,626210,0.001981717,0.011201964,24906,25.12964747,23871,24.08535352,1035,1.044293951
Virgin Islands,2013,,,,0,0,1898,0,348,0,1550,0
Virginia,2013,VA,South,8252427,0.026115795,0.069720516,110787,72.42455342,102279,66.86263641,8508,5.561917017
Washington,2013,WA,West,6963985,0.022038366,0.09389584,184661,36.51464034,172119,34.0346006,12542,2.480039744
West Virginia,2013,WV,South,1853914,0.005866933,0.015662767,62756,29.54680031,62259,29.3128026,497,0.233997701
Wisconsin,2013,WI,Midwest,5736754,0.018154646,0.084912993,169635,33.54540631,140268,27.73806734,29367,5.807338976
Wyoming,2013,WY,West,582122,0.001842195,0.007848787,253335,2.228223499,251470,2.211819777,1864,0.016394926
Alabama,2014,AL,South,4841799,0.015211384,0.040475135,135767,35.2474239,131171,34.05422407,4597,1.193459439
Alaska,2014,AK,West,736283,0.002313166,0.00982683,1723337,0.41426024,1477953,0.355274195,245384,0.058986046
Arizona,2014,AZ,West,6730413,0.021144806,0.089827718,295234,21.70201264,294207,21.62652009,1026,0.07541904
